workclass,education,education-num,marital-status,occupation,relationship,race,capital-gain,capital-loss,hours-per-week,native-country,Sex_age,income
Private,10th,9,Never-married,Handlers-cleaners,Own-child,White,4,0,40,United-States,Male_25–60,<=50K
Self-emp-not-inc,Some-college,10,Married-civ-spouse,Other-service,Husband,White,-5,0,25,United-States,Male_>60,<=50K
Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Black,4,0,57,United-States,Male_25–60,>50K
Without-pay,HS-grad,9,Married-civ-spouse,Farming-fishing,Own-child,White,-6,0,23,United-States,Male_<25,<=50K
Federal-gov,HS-grad,9,Separated,Transport-moving,Not-in-family,White,-10,0,55,United-States,Male_25–60,<=50K
Private,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,7554,0,40,Philippines,Male_25–60,>50K
Private,Some-college,10,Divorced,Adm-clerical,Own-child,White,11,0,40,United-States,Female_25–60,<=50K
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,0,0,79,United-States,Male_25–60,>50K
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,1,0,61,United-States,Male_25–60,<=50K
Private,HS-grad,9,Never-married,Machine-op-inspct,Other-relative,White,5,0,40,United-States,Female_25–60,<=50K
Private,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,7,0,40,United-States,Female_25–60,<=50K
State-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,0,1851,40,United-States,Male_<25,>50K
Local-gov,Some-college,10,Never-married,Tech-support,Own-child,White,-3,0,22,United-States,Female_25–60,<=50K
Self-emp-not-inc,12th,7,Married-civ-spouse,Craft-repair,Husband,White,3554,0,18,United-States,Male_>60,<=50K
Private,Some-college,10,Widowed,Farming-fishing,Unmarried,Black,-2,0,40,United-States,Female_25–60,<=50K
Private,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,Asian-Pac-Islander,10,0,40,Philippines,Female_25–60,<=50K
Without-pay,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,1,0,22,United-States,Female_25–60,<=50K
Private,Bachelors,13,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,3,0,40,Philippines,Female_25–60,<=50K
Private,Some-college,10,Divorced,Machine-op-inspct,Unmarried,Black,8,0,47,Trinadad&Tobago,Female_25–60,<=50K
State-gov,Masters,14,Divorced,Tech-support,Unmarried,White,1,0,79,United-States,Female_25–60,<=50K
Self-emp-not-inc,Bachelors,13,Never-married,Adm-clerical,Not-in-family,Black,0,0,39,United-States,Male_>60,<=50K
Private,HS-grad,9,Never-married,Adm-clerical,Unmarried,White,2,0,40,United-States,Female_25–60,<=50K
Private,Prof-school,14,Married-civ-spouse,Prof-specialty,Husband,White,2,0,39,United-States,Male_25–60,>50K
Private,HS-grad,9,Divorced,Sales,Not-in-family,White,-5,0,22,United-States,Female_25–60,<=50K
Private,Bachelors,13,Never-married,Other-service,Not-in-family,White,1,1857,40,United-States,Female_25–60,>50K
Private,5th-6th,9,Married-spouse-absent,Farming-fishing,Not-in-family,White,-5,0,40,Mexico,Female_25–60,<=50K
State-gov,Bachelors,13,Widowed,Prof-specialty,Unmarried,White,-6,0,40,Canada,Female_25–60,>50K
Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,-2,0,58,United-States,Male_25–60,>50K
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,-5,0,57,United-States,Male_25–60,>50K
Private,11th,7,Married-civ-spouse,Farming-fishing,Husband,White,8,0,78,United-States,Male_25–60,<=50K
Private,Assoc-voc,11,Divorced,Prof-specialty,Own-child,White,1,0,40,United-States,Female_25–60,<=50K
Private,HS-grad,9,Divorced,Machine-op-inspct,Own-child,White,-2,1,40,United-States,Female_25–60,<=50K
Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,-1,0,40,United-States,Male_25–60,>50K
Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,7,0,57,Puerto-Rico,Male_25–60,>50K
Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,-1,0,47,United-States,Female_<25,<=50K
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Own-child,White,3653,0,40,United-States,Male_>60,<=50K
Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,5,0,35,United-States,Male_<25,<=50K
Private,HS-grad,9,Married-AF-spouse,Machine-op-inspct,Husband,White,2,0,40,United-States,Female_<25,<=50K
Self-emp-not-inc,HS-grad,9,Widowed,Exec-managerial,Unmarried,White,3,0,40,United-States,Female_25–60,<=50K
Private,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,-8,0,57,United-States,Male_25–60,<=50K
Self-emp-inc,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,7742,0,40,United-States,Female_25–60,>50K
Self-emp-inc,10th,6,Separated,Other-service,Unmarried,White,3759,0,40,United-States,Female_25–60,<=50K
Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,6,0,48,United-States,Female_25–60,<=50K
Private,Some-college,10,Never-married,Sales,Unmarried,White,10,0,39,United-States,Female_<25,<=50K
State-gov,Bachelors,13,Never-married,Tech-support,Not-in-family,White,1,0,40,United-States,Male_25–60,<=50K
Federal-gov,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,White,3465,0,40,United-States,Male_<25,<=50K
Local-gov,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,1,1854,57,United-States,Male_25–60,>50K
Self-emp-not-inc,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,100023,0,61,United-States,Female_25–60,<=50K
Federal-gov,Bachelors,14,Married-civ-spouse,Prof-specialty,Husband,White,7562,0,40,United-States,Male_>60,>50K
Federal-gov,HS-grad,9,Never-married,Craft-repair,Not-in-family,Amer-Indian-Eskimo,4,0,40,United-States,Male_25–60,<=50K
Private,Masters,14,Divorced,Prof-specialty,Not-in-family,White,0,0,40,England,Male_>60,<=50K
Self-emp-not-inc,HS-grad,9,Widowed,Sales,Other-relative,White,0,0,22,United-States,Female_25–60,<=50K
Local-gov,Bachelors,13,Married-civ-spouse,Protective-serv,Not-in-family,White,-6,0,40,Portugal,Male_25–60,<=50K
Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,-1,2129,57,United-States,Male_25–60,>50K
Private,7th-8th,10,Separated,Craft-repair,Unmarried,Other,10,0,36,United-States,Female_25–60,<=50K
Private,Masters,14,Never-married,Exec-managerial,Not-in-family,White,4,0,56,United-States,Female_25–60,>50K
Private,5th-6th,5,Widowed,Handlers-cleaners,Not-in-family,White,-9,0,40,United-States,Female_>60,<=50K
Private,Some-college,10,Never-married,Sales,Other-relative,Amer-Indian-Eskimo,3,0,40,United-States,Male_25–60,<=50K
Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,0,0,57,United-States,Male_25–60,>50K
Private,HS-grad,9,Divorced,Machine-op-inspct,Unmarried,White,11,0,40,United-States,Female_25–60,<=50K
State-gov,HS-grad,9,Never-married,Prof-specialty,Not-in-family,White,-1,0,22,Scotland,Male_>60,<=50K
Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,-9,0,40,United-States,Male_25–60,<=50K
State-gov,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Black,4,0,62,United-States,Male_25–60,<=50K
State-gov,Some-college,10,Never-married,Other-service,Own-child,White,15,0,23,United-States,Female_<25,<=50K
Private,Some-college,14,Never-married,Other-service,Not-in-family,White,5,0,37,United-States,Female_25–60,<=50K
Private,Some-college,10,Never-married,Sales,Own-child,White,10,0,40,United-States,Female_25–60,<=50K
Self-emp-inc,11th,7,Divorced,Other-service,Unmarried,White,1,0,35,United-States,Female_25–60,<=50K
Self-emp-not-inc,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,99771,0,40,Iran,Male_>60,>50K
State-gov,HS-grad,9,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,0,0,40,South,Female_<25,<=50K
Private,Bachelors,13,Divorced,Sales,Not-in-family,White,2,0,47,United-States,Male_25–60,<=50K
Local-gov,12th,7,Married-civ-spouse,Adm-clerical,Husband,Black,1,0,57,United-States,Male_25–60,>50K
Private,HS-grad,9,Married-spouse-absent,Other-service,Own-child,Asian-Pac-Islander,3634,0,18,South,Female_>60,<=50K
Federal-gov,Bachelors,13,Divorced,Adm-clerical,Other-relative,Amer-Indian-Eskimo,7,0,22,United-States,Female_<25,<=50K
Private,10th,7,Married-AF-spouse,Craft-repair,Not-in-family,Other,3,0,104,United-States,Male_25–60,<=50K
Private,HS-grad,9,Never-married,Sales,Not-in-family,White,2,0,38,United-States,Male_<25,<=50K
Private,HS-grad,9,Never-married,Craft-repair,Other-relative,Black,1,0,40,United-States,Female_<25,<=50K
Local-gov,HS-grad,9,Divorced,Prof-specialty,Not-in-family,Other,101382,0,22,United-States,Female_25–60,>50K
Private,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,-6,0,40,United-States,Male_25–60,<=50K
Self-emp-not-inc,Prof-school,14,Married-civ-spouse,Exec-managerial,Wife,White,6,0,40,United-States,Female_25–60,>50K
Local-gov,9th,5,Married-civ-spouse,Handlers-cleaners,Husband,White,10,0,40,United-States,Male_25–60,<=50K
Self-emp-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,White,0,0,39,United-States,Male_25–60,<=50K
Private,HS-grad,9,Never-married,Other-service,Own-child,White,2,0,39,United-States,Female_<25,<=50K
Private,Some-college,10,Never-married,Adm-clerical,Other-relative,Black,6,0,40,United-States,Female_25–60,<=50K
Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,-3,0,22,United-States,Female_<25,<=50K
Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,Black,4,0,40,United-States,Male_25–60,<=50K
State-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,1,0,24,United-States,Male_>60,<=50K
Private,Some-college,10,Never-married,Sales,Own-child,White,7,0,36,United-States,Female_<25,<=50K
Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,3,0,48,United-States,Male_25–60,<=50K
Self-emp-not-inc,Bachelors,13,Married-AF-spouse,Exec-managerial,Husband,White,3,0,40,United-States,Male_25–60,<=50K
Self-emp-not-inc,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,4,0,40,United-States,Male_25–60,>50K
Local-gov,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,-1,0,40,United-States,Male_25–60,>50K
Self-emp-inc,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,101504,0,40,Canada,Male_25–60,>50K
Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,3,0,57,United-States,Male_25–60,<=50K
Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,1,0,40,United-States,Female_25–60,<=50K
Private,Bachelors,13,Never-married,Sales,Unmarried,White,10,0,40,United-States,Female_<25,>50K
Private,5th-6th,4,Widowed,Priv-house-serv,Not-in-family,White,-3,0,25,Philippines,Female_25–60,<=50K
State-gov,HS-grad,9,Divorced,Sales,Not-in-family,Black,-3,0,40,United-States,Female_25–60,<=50K
Private,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,7,0,40,United-States,Male_<25,<=50K
Local-gov,7th-8th,4,Divorced,Other-service,Unmarried,White,-6,0,37,United-States,Female_25–60,<=50K
Private,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,-8,0,56,United-States,Male_25–60,>50K
Self-emp-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,12,0,61,Canada,Male_25–60,<=50K
Private,10th,4,Widowed,Sales,Not-in-family,White,3765,0,39,United-States,Female_>60,<=50K
Private,HS-grad,9,Never-married,Adm-clerical,Other-relative,Black,5,0,40,United-States,Female_<25,<=50K
State-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,Black,5,0,36,United-States,Female_25–60,>50K
Self-emp-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,10,0,58,United-States,Male_>60,<=50K
Private,HS-grad,9,Never-married,Sales,Not-in-family,White,-1,0,40,United-States,Female_<25,<=50K
Private,Prof-school,15,Divorced,Prof-specialty,Not-in-family,White,99702,0,40,United-States,Male_25–60,<=50K
Private,10th,6,Divorced,Sales,Unmarried,Black,3,0,40,United-States,Female_25–60,<=50K
Private,HS-grad,9,Never-married,Other-service,Unmarried,Black,3,0,36,United-States,Female_25–60,<=50K
Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,-1,1829,40,United-States,Male_25–60,<=50K
Private,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,7696,0,40,Portugal,Male_25–60,>50K
Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,-1,0,40,United-States,Male_25–60,<=50K
Self-emp-not-inc,Some-college,10,Married-civ-spouse,Sales,Wife,White,7471,0,23,United-States,Female_25–60,>50K
Self-emp-not-inc,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,2,0,57,India,Male_>60,>50K
Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Own-child,White,3,0,47,United-States,Male_25–60,<=50K
Private,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,2,0,37,United-States,Male_25–60,<=50K
State-gov,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,5,0,58,United-States,Male_25–60,<=50K
Private,Some-college,10,Married-spouse-absent,Sales,Own-child,White,5,0,40,United-States,Female_25–60,>50K
State-gov,HS-grad,9,Separated,Other-service,Not-in-family,White,4,0,59,United-States,Male_25–60,>50K
Private,Bachelors,13,Divorced,Prof-specialty,Own-child,White,-6,0,40,Poland,Male_25–60,<=50K
Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,Asian-Pac-Islander,-1,0,40,United-States,Male_25–60,<=50K
Private,HS-grad,13,Married-civ-spouse,Adm-clerical,Husband,White,7,0,40,United-States,Male_25–60,<=50K
Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,1,0,40,United-States,Male_>60,<=50K
Private,12th,7,Separated,Exec-managerial,Unmarried,White,0,0,22,United-States,Female_<25,<=50K
Self-emp-not-inc,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,4,1,58,United-States,Male_25–60,>50K
Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,-2,0,40,United-States,Male_25–60,<=50K
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,4,0,112,United-States,Male_25–60,<=50K
Self-emp-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,1,0,59,United-States,Male_25–60,>50K
Private,Some-college,10,Married-spouse-absent,Adm-clerical,Unmarried,Black,3705,0,40,United-States,Female_25–60,<=50K
Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,-2,0,40,Peru,Male_25–60,<=50K
Local-gov,Bachelors,13,Never-married,Protective-serv,Own-child,Black,-3,0,40,United-States,Male_25–60,<=50K
Private,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,-2,0,40,United-States,Male_<25,<=50K
Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,8,0,40,United-States,Male_25–60,>50K
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,3,0,40,Philippines,Male_25–60,<=50K
Private,12th,7,Married-civ-spouse,Adm-clerical,Unmarried,Black,8,0,47,United-States,Male_25–60,<=50K
Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,3904,0,40,United-States,Male_25–60,<=50K
Private,Assoc-voc,11,Never-married,Exec-managerial,Not-in-family,White,10,0,62,United-States,Male_25–60,>50K
Private,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,1,0,40,United-States,Male_25–60,<=50K
Local-gov,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,-2,0,40,United-States,Male_25–60,<=50K
Private,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,3599,0,58,United-States,Male_25–60,>50K
Without-pay,10th,9,Never-married,Farming-fishing,Not-in-family,White,-6,0,22,United-States,Male_>60,<=50K
Local-gov,Bachelors,13,Never-married,Protective-serv,Not-in-family,White,-5,0,40,United-States,Male_>60,<=50K
State-gov,Assoc-voc,11,Divorced,Prof-specialty,Unmarried,White,-4,0,57,United-States,Female_25–60,<=50K
Federal-gov,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,1,0,40,United-States,Female_25–60,>50K
Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,-6,1837,25,United-States,Male_>60,>50K
Private,11th,5,Married-civ-spouse,Adm-clerical,Husband,White,1,0,40,Scotland,Male_>60,<=50K
Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,10,0,40,United-States,Male_>60,<=50K
Self-emp-inc,HS-grad,10,Widowed,Sales,Unmarried,White,6,0,40,United-States,Female_>60,<=50K
Private,HS-grad,4,Married-civ-spouse,Exec-managerial,Husband,White,1,0,39,United-States,Male_<25,<=50K
Private,Bachelors,9,Never-married,Farming-fishing,Own-child,White,8,0,40,United-States,Male_<25,<=50K
Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,-1,0,40,United-States,Male_25–60,<=50K
Local-gov,Preschool,1,Married-civ-spouse,Priv-house-serv,Wife,Black,0,0,40,Haiti,Female_25–60,<=50K
