education-num,capital-gain,capital-loss,hours-per-week,workclass,education,marital-status,occupation,relationship,race,native-country,Sex_age,income
9.0,0.0,0.0,1.0,Private,11th,Never-married,Sales,Own-child,White,United-States,Female_<25,<=50K
13.0,0.0,0.0,45.0,Private,Bachelors,Married-civ-spouse,Tech-support,Wife,Asian-Pac-Islander,United-States,Female_25–60,>50K
13.0,0.0,0.0,40.0,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,United-States,Male_25–60,<=50K
13.0,0.0,0.0,53.510147,Self-emp-inc,Masters,Married-civ-spouse,Prof-specialty,Husband,White,United-States,Male_25–60,<=50K
10.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,United-States,Male_25–60,<=50K
13.0,0.0,0.0,99.0,Local-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,United-States,Male_25–60,<=50K
9.0,0.0,0.0,99.0,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male_25–60,<=50K
9.0,0.0,0.0,25.0,Private,12th,Married-civ-spouse,Sales,Unmarried,White,United-States,Male_>60,<=50K
10.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,United-States,Male_25–60,>50K
9.0,0.0,0.0,40.0,Private,HS-grad,Separated,Sales,Wife,White,Japan,Female_25–60,<=50K
1.0,0.0,0.0,40.0,Private,11th,Never-married,Transport-moving,Not-in-family,White,United-States,Male_<25,<=50K
11.0,0.0,0.0,60.0,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,United-States,Female_25–60,<=50K
9.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Adm-clerical,Wife,Black,United-States,Female_25–60,<=50K
9.0,0.0,0.0,45.0,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male_25–60,>50K
13.0,0.0,0.0,50.0,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,United-States,Female_25–60,>50K
13.0,0.0,0.0,40.0,Private,Bachelors,Never-married,Sales,Not-in-family,White,United-States,Female_25–60,<=50K
16.0,0.0,0.0,40.0,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,United-States,Male_25–60,>50K
9.0,0.0,0.0,20.0,Private,Some-college,Divorced,Other-service,Unmarried,White,United-States,Female_25–60,<=50K
9.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Canada,Male_25–60,<=50K
11.0,0.0,0.0,40.0,Federal-gov,Some-college,Separated,Adm-clerical,Unmarried,White,United-States,Female_25–60,<=50K
10.0,0.0,0.0,40.0,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,Wife,Black,United-States,Female_25–60,<=50K
10.0,0.0,0.0,45.0,Local-gov,Some-college,Married-civ-spouse,Farming-fishing,Husband,White,United-States,Male_25–60,>50K
9.0,0.0,0.0,40.0,Private,HS-grad,Divorced,Other-service,Not-in-family,Black,United-States,Female_25–60,<=50K
10.0,0.0,0.0,40.0,Federal-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,White,United-States,Male_25–60,<=50K
9.0,0.0,0.0,45.0,Private,1st-4th,Married-civ-spouse,Handlers-cleaners,Husband,White,Italy,Male_<25,<=50K
9.0,0.0,0.0,45.0,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,United-States,Male_25–60,<=50K
9.0,0.0,0.0,45.0,Private,HS-grad,Never-married,Sales,Not-in-family,White,United-States,Male_25–60,<=50K
10.0,0.0,0.0,20.0,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male_25–60,<=50K
9.0,0.0,0.0,45.0,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,United-States,Male_25–60,<=50K
13.0,0.0,0.0,99.0,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,United-States,Male_25–60,>50K
9.0,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male_25–60,<=50K
9.0,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male_25–60,>50K
10.0,0.0,0.0,40.0,Local-gov,Some-college,Never-married,Prof-specialty,Not-in-family,White,United-States,Female_<25,<=50K
11.0,0.0,0.0,50.0,Local-gov,Assoc-acdm,Divorced,Prof-specialty,Not-in-family,Black,United-States,Male_25–60,>50K
10.0,0.0,0.0,41.0,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,United-States,Male_25–60,<=50K
9.0,0.0,0.0,40.0,Private,9th,Never-married,Craft-repair,Unmarried,Other,United-States,Male_25–60,<=50K
13.0,0.0,0.0,50.0,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,White,United-States,Male_25–60,>50K
10.0,0.0,0.0,40.0,Private,Some-college,Never-married,Machine-op-inspct,Own-child,White,United-States,Male_<25,<=50K
10.0,0.0,0.0,40.0,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,United-States,Female_25–60,<=50K
9.0,0.0,0.0,20.0,Private,HS-grad,Never-married,Craft-repair,Own-child,White,United-States,Male_<25,<=50K
13.0,0.0,0.0,99.0,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,United-States,Male_25–60,>50K
13.0,0.0,0.0,40.0,Private,Bachelors,Never-married,Protective-serv,Own-child,White,United-States,Male_25–60,<=50K
9.0,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,United-States,Male_25–60,<=50K
9.0,0.0,0.0,99.0,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,United-States,Male_25–60,<=50K
7.0,0.0,0.0,35.0,Private,11th,Never-married,Handlers-cleaners,Own-child,White,United-States,Male_<25,<=50K
13.0,0.0,0.0,40.0,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male_25–60,>50K
10.0,0.0,0.0,40.0,Private,Some-college,Never-married,Exec-managerial,Not-in-family,White,United-States,Female_25–60,<=50K
9.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Sales,Wife,White,United-States,Female_25–60,>50K
16.0,99999.0,0.0,40.0,State-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,United-States,Female_25–60,>50K
16.0,0.0,0.0,40.0,Local-gov,Masters,Never-married,Prof-specialty,Husband,White,United-States,Male_25–60,<=50K
14.0,0.0,0.0,40.0,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,United-States,Male_25–60,>50K
14.0,0.0,0.0,35.0,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,United-States,Male_25–60,<=50K
13.0,0.0,3175.0,40.0,Private,Bachelors,Never-married,Exec-managerial,Unmarried,White,United-States,Male_25–60,<=50K
9.0,0.0,0.0,45.0,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male_25–60,<=50K
10.0,0.0,0.0,45.0,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,United-States,Female_25–60,>50K
13.0,0.0,0.0,45.0,Local-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male_25–60,<=50K
9.0,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male_25–60,<=50K
10.0,0.0,0.0,40.0,Private,Some-college,Divorced,Sales,Wife,White,United-States,Female_25–60,>50K
14.0,0.0,0.0,40.0,Local-gov,Bachelors,Married-civ-spouse,Tech-support,Own-child,White,United-States,Male_25–60,<=50K
12.0,0.0,0.0,40.0,Private,Bachelors,Never-married,Craft-repair,Own-child,White,United-States,Male_25–60,<=50K
11.0,0.0,0.0,40.0,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,United-States,Male_25–60,>50K
10.0,99999.0,0.0,40.0,Self-emp-not-inc,Assoc-acdm,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male_25–60,>50K
12.0,0.0,0.0,40.0,Private,Assoc-acdm,Married-civ-spouse,Prof-specialty,Husband,White,United-States,Male_25–60,<=50K
14.0,0.0,0.0,40.0,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male_25–60,<=50K
10.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Sales,Husband,White,United-States,Male_25–60,<=50K
10.0,0.0,0.0,60.0,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,United-States,Male_25–60,>50K
9.0,0.0,0.0,40.0,Private,HS-grad,Widowed,Sales,Own-child,White,United-States,Male_25–60,<=50K
15.0,0.0,0.0,40.0,Local-gov,Masters,Never-married,Prof-specialty,Unmarried,Black,United-States,Female_25–60,<=50K
10.0,0.0,0.0,40.0,Private,Some-college,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Canada,Female_25–60,<=50K
10.0,0.0,0.0,40.0,State-gov,Some-college,Never-married,Protective-serv,Not-in-family,White,United-States,Male_25–60,<=50K
10.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Sales,Own-child,White,United-States,Male_25–60,<=50K
9.0,0.0,0.0,40.0,Private,HS-grad,Separated,Adm-clerical,Not-in-family,White,Ireland,Female_25–60,<=50K
9.0,0.0,0.0,48.0,Private,HS-grad,Divorced,Machine-op-inspct,Unmarried,White,United-States,Female_25–60,<=50K
10.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male_25–60,<=50K
9.0,0.0,0.0,40.0,Private,Some-college,Never-married,Other-service,Own-child,White,United-States,Male_<25,<=50K
9.0,0.0,0.0,45.0,Private,HS-grad,Separated,Transport-moving,Unmarried,White,Mexico,Male_25–60,<=50K
9.0,0.0,0.0,45.0,Private,HS-grad,Never-married,Machine-op-inspct,Unmarried,White,United-States,Female_25–60,<=50K
9.0,0.0,0.0,40.0,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,White,United-States,Male_25–60,<=50K
1.0,0.0,0.0,45.0,Private,9th,Married-civ-spouse,Machine-op-inspct,Husband,White,Mexico,Male_25–60,<=50K
11.0,0.0,0.0,45.0,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male_25–60,>50K
1.0,0.0,0.0,38.0,Private,9th,Never-married,Machine-op-inspct,Unmarried,Black,United-States,Male_<25,<=50K
9.0,0.0,0.0,1.0,Private,11th,Widowed,Adm-clerical,Unmarried,White,United-States,Female_25–60,<=50K
9.0,0.0,0.0,20.0,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Puerto-Rico,Female_<25,<=50K
6.0,0.0,0.0,40.0,Private,10th,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Mexico,Male_<25,<=50K
9.0,0.0,0.0,40.0,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,United-States,Male_25–60,<=50K
9.0,0.0,0.0,40.0,Private,HS-grad,Divorced,Machine-op-inspct,Not-in-family,White,United-States,Male_25–60,<=50K
9.0,0.0,0.0,35.0,Local-gov,Some-college,Never-married,Adm-clerical,Not-in-family,White,United-States,Female_25–60,<=50K
9.0,0.0,0.0,1.0,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,United-States,Female_<25,<=50K
13.0,0.0,0.0,65.0,Self-emp-inc,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Germany,Female_25–60,>50K
9.0,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,United-States,Male_25–60,<=50K
10.0,0.0,0.0,99.0,Local-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,India,Male_25–60,>50K
7.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Transport-moving,Own-child,Black,El-Salvador,Male_<25,<=50K
9.0,0.0,0.0,40.0,Private,11th,Married-civ-spouse,Farming-fishing,Husband,White,United-States,Male_25–60,<=50K
10.0,0.0,0.0,45.0,Private,Bachelors,Separated,Exec-managerial,Own-child,Asian-Pac-Islander,United-States,Female_25–60,>50K
9.0,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,United-States,Male_25–60,<=50K
9.0,0.0,0.0,40.0,Local-gov,HS-grad,Separated,Other-service,Own-child,White,United-States,Male_25–60,<=50K
10.0,0.0,0.0,16.0,Private,Some-college,Never-married,Sales,Own-child,White,United-States,Female_<25,<=50K
9.0,0.0,0.0,40.0,Local-gov,7th-8th,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male_25–60,<=50K
13.0,0.0,0.0,50.0,Self-emp-not-inc,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Ireland,Male_25–60,<=50K
14.0,0.0,0.0,40.0,Private,Masters,Divorced,Tech-support,Not-in-family,Black,United-States,Female_25–60,<=50K
9.0,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,United-States,Male_25–60,<=50K
10.0,0.0,0.0,45.0,Private,Assoc-voc,Never-married,Sales,Not-in-family,White,United-States,Male_25–60,<=50K
9.0,0.0,0.0,40.0,Private,HS-grad,Separated,Adm-clerical,Unmarried,White,United-States,Female_25–60,<=50K
9.0,0.0,0.0,44.0,Self-emp-inc,Assoc-voc,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male_25–60,<=50K
11.0,0.0,0.0,60.0,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male_25–60,>50K
9.0,0.0,0.0,40.0,Self-emp-not-inc,HS-grad,Widowed,Farming-fishing,Husband,White,United-States,Male_25–60,<=50K
9.0,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male_25–60,>50K
9.0,0.0,0.0,39.0,Private,HS-grad,Never-married,Other-service,Not-in-family,White,United-States,Male_25–60,<=50K
7.0,0.0,0.0,30.0,Private,12th,Never-married,Sales,Own-child,White,United-States,Female_<25,<=50K
9.0,0.0,0.0,40.0,Private,HS-grad,Divorced,Sales,Other-relative,White,United-States,Female_<25,<=50K
10.0,0.0,0.0,40.0,Private,Bachelors,Never-married,Adm-clerical,Own-child,White,United-States,Male_25–60,<=50K
9.0,0.0,0.0,40.0,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,United-States,Male_25–60,<=50K
13.0,0.0,0.0,40.0,Local-gov,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,United-States,Male_25–60,<=50K
10.0,0.0,0.0,40.0,Local-gov,Doctorate,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,India,Female_25–60,<=50K
14.0,99999.0,0.0,50.0,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male_25–60,>50K
11.0,0.0,0.0,50.0,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male_25–60,>50K
9.0,0.0,0.0,1.0,Private,HS-grad,Never-married,Sales,Unmarried,White,United-States,Female_>60,<=50K
16.0,0.0,0.0,40.0,Private,Masters,Married-civ-spouse,Adm-clerical,Husband,White,United-States,Male_25–60,>50K
1.0,0.0,0.0,14.337971,Private,11th,Never-married,Other-service,Own-child,White,United-States,Male_<25,<=50K
9.0,0.0,0.0,40.0,Private,HS-grad,Divorced,Transport-moving,Unmarried,White,United-States,Female_>60,<=50K
11.0,0.0,0.0,42.0,Federal-gov,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male_25–60,<=50K
10.0,0.0,0.0,70.0,Private,HS-grad,Married-civ-spouse,Tech-support,Husband,White,United-States,Male_25–60,<=50K
13.0,0.0,0.0,45.635235,Private,Bachelors,Never-married,Prof-specialty,Own-child,White,United-States,Female_25–60,<=50K
10.0,0.0,0.0,40.0,Federal-gov,Some-college,Divorced,Exec-managerial,Unmarried,White,United-States,Female_25–60,<=50K
10.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Sales,Husband,White,United-States,Male_25–60,<=50K
14.0,0.0,3175.0,40.0,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male_25–60,>50K
10.0,0.0,0.0,40.0,Self-emp-inc,Some-college,Married-civ-spouse,Prof-specialty,Wife,White,United-States,Female_25–60,>50K
12.0,0.0,0.0,40.0,Private,Some-college,Never-married,Craft-repair,Not-in-family,White,El-Salvador,Male_25–60,<=50K
9.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,United-States,Male_25–60,<=50K
9.0,0.0,0.0,40.0,Local-gov,Some-college,Divorced,Adm-clerical,Not-in-family,White,United-States,Female_25–60,<=50K
13.0,0.0,0.0,35.0,Private,Some-college,Never-married,Prof-specialty,Husband,White,United-States,Male_25–60,<=50K
9.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Tech-support,Husband,White,United-States,Male_25–60,<=50K
9.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,White,United-States,Male_25–60,<=50K
11.0,0.0,0.0,15.0,Private,Some-college,Never-married,Adm-clerical,Unmarried,White,United-States,Female_25–60,<=50K
10.0,0.0,0.0,40.0,Private,Some-college,Never-married,Craft-repair,Not-in-family,White,Cuba,Male_<25,<=50K
9.0,0.0,0.0,40.0,Self-emp-not-inc,Some-college,Married-civ-spouse,Prof-specialty,Wife,White,United-States,Female_25–60,<=50K
13.0,0.0,0.0,40.0,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,United-States,Male_25–60,<=50K
7.0,0.0,0.0,40.0,State-gov,1st-4th,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Taiwan,Female_25–60,<=50K
9.0,0.0,0.0,20.0,Private,5th-6th,Never-married,Sales,Not-in-family,White,Mexico,Female_25–60,<=50K
7.0,0.0,0.0,40.0,Private,9th,Separated,Machine-op-inspct,Not-in-family,White,United-States,Male_25–60,<=50K
10.0,0.0,0.0,40.0,Private,Prof-school,Married-civ-spouse,Tech-support,Wife,Asian-Pac-Islander,United-States,Female_25–60,>50K
10.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male_25–60,<=50K
